name: mitochondrial genome maintenance,GO:0000002,LONP1,MEF2A,MPV17,AKT3,OPA1,TYMP,MGME1,SLC25A33,SLC25A36,SLC25A4,PIF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: single strand break repair,GO:0000012,ERCC6,SIRT1,TDP1,ERCC8,XRCC1,APTX,XNDC1N,LIG4,TNP1,APLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: single-stranded DNA endodeoxyribonuclease activity,GO:0000014,MRE11,EXOG,RAD50,SETMAR,RBBP8,ENDOG,ERCC1,ERCC4,DCLRE1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: regulation of DNA recombination,GO:0000018,IL7R,KPNA2,KPNA1,THOC1,ALYREF,SMARCAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: ribosomal large subunit assembly,GO:0000027,RPL24,RPF2,MDN1,RPL6,RPL10,PPAN,MRTO4,RPL23A,NLE1,MRPL20,RPL11,BOP1,TRAF7,RPL10L,NOP53,NOP2,RRS1,RPLP0P6,BRIX1,RPLP0,RPL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: ribosomal small subunit assembly,GO:0000028,RRP7BP,RPSAP58,RRP7A,MRPS11,RPS15,MRPS7,PWP2,ERAL1,RPS28,RPS19,RPS27L,RPS5,RPS27,RPSA,RPS14,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: mannosyltransferase activity,GO:0000030,TMTC1,POMT2,POMT1,DPY19L3,ALG1L,ALG1L2,DPY19L4,TMTC2,PIGV,TMTC3,PIGZ,PIGB,PIGM,ALG9,ALG1,ALG12,TMTC4,DPY19L1,DPY19L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: very long-chain fatty acid metabolic process,GO:0000038,ABCD3,ABCD2,ACOT2,PEX2,ACSL1,ACSBG1,ABCD1,ACOT1,ACOX1,SLC27A6,PEX5,ACOT4,ACOX2,ACAA1,HSD17B4,ACSL6,CYP4F12,SLC27A5,CYP4F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: autophagosome assembly,GO:0000045,AP4M1,CTSD,ATG101,ATG5,ATG13,RAB19,MAP1LC3A,VMP1,ATG12,PSEN1,PIK3C3,ELAPOR1,RAB33B,ULK1,EMC6,RAB43,ATG2B,WIPI1,BAG3,TCIRG1,ATG14,ATG16L2,MAP1LC3B,PACS2,BECN1,GABARAPL2,WDR45B,ATG16L1,IRGM,RAB1A,RB1CC1,AMBRA1,ATG7,ATP2A2,RUFY4,GABARAP,ATG9B,STING1,UBXN2A,RAB1C,RAB7A,STX12,ATG9A,MTM1,UBQLN1,TP53INP1,SYNPO2,TP53INP2,UBQLN2,MAP1LC3C,WIPI2,WDR45,GABARAPL1,MAP1LC3B2,ATG2A,RAB1B,GABARAPL3,BECN2,ATG3,RAB23,ULK2,TMEM41B,UBXN2B,NSFL1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: tRNA binding,GO:0000049,MTRES1,IGHMBP2,TRMU,ALKBH8,THG1L,RPL35A,SEPSECS,ALKBH1,RPUSD4,EARS2,SLFN11,KARS1,TRMT1L,EIF2A,HSD17B10,XPOT,TRMT10C,YARS1,SARS1,RARS1,PUS1,TYW5,YRDC,SARS2,EEFSEC,PTCD1,CTU2,TRMT11,DUS2,AARS2,TRMT9B,MTRFR,DALRD3,YARS2,CARS1,NSUN2,PSTK,GTSF1,IARS2,NSUN6,NSUN3,MARS1,EEF1A1,M0R2C6,AIMP1,TARS1,IFIT5,DARS2,EIF2AK4,ELP1,DTD2,THUMPD3,TRMT1,METTL1,TERT,CTU1,ELP3,NAT10,TRNT1,FARSA,EIF2S3,TRMT10A,XPO5,MRPS27,NEMF,EIF2S3B,ELP5,SLFN13,FARS2,AARS1,TRMT10B,IARS1,TRNAU1AP,SSB,DTD1,,,,,,,,,,,,,,,,,,,,,,,,,
name: urea cycle,GO:0000050,ASL,OTC,ARG2,ARG1,CPS1,ASS1,NAGS,SLC25A2,SLC25A15,CEBPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: ribosomal subunit export from nucleus,GO:0000054,EIF6,LSG1,A0A0U1RQV5,RAN,ABCE1,XPO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: ribosomal large subunit export from nucleus,GO:0000055,NUP88,SDAD1,NMD3,RRS1,NPM1,MDN1,RAN,XPO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: ribosomal small subunit export from nucleus,GO:0000056,NUP88,LTV1,NPM1,NOP9,XPO1,RAN,RPS15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: fatty-acyl-CoA binding,GO:0000062,ACBD5,DBI,ACADL,ACBD3,SOAT1,PITPNA,ECI2,ACBD6,ACAD9,ACOT7,ACBD7,SOAT2,SCP2,ACBD4,GCDH,HADHA,ACADVL,ALDH6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: L-ornithine transmembrane transporter activity,GO:0000064,SLC7A1,SLC25A15,SLC25A2,SLC7A2,SLC7A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: mitotic sister chromatid segregation,GO:0000070,KIF18B,SPAG5,KIFC1,SMC1A,NDC80,PLK1,DSN1,KIF11,MAD2L1,WRAP73,SGO2,TUBG2,KLHL22,KIF25,NSL1,ESPL1,ZWINT,CDCA8,INO80,NEK2,NCAPG2,NUSAP1,CENPK,MIS12,SMC4,ZNF207,TUBG1,KNSTRN,KIF18A,RAN,ZW10,KNTC1,SGO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: DNA replication checkpoint signaling,GO:0000076,CDT1,CDC45,CDC6,CLSPN,TIPIN,RAD9A,TIMELESS,RAD9B,DNA2,RAD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: DNA damage checkpoint signaling,GO:0000077,FBXO6,CLOCK,DTX3L,HINFP,RAD1,PARP9,CDC5L,MAP3K20,CLSPN,CEP63,CHEK2,PTPN11,BRIP1,MAPK14,INTS7,TP53BP1,H2AX,PRPF19,EIF2AK4,RAD9A,TIPRL,CHEK1,USP28,DOT1L,ATRIP,E2F1,RAD17,ERCC6,ATR,RPA4,NBN,RHNO1,ATM,DONSON,HUS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000079,CCNE1,GADD45A,GTPBP4,CCNB3,CCND3,CCNA1,CDKN3,CCNF,CDKN2D,CCND1,CCNJ,CCND2,CCNT1,CCNK,CCNJL,CDC6,CCNE2,CDKN2C,CCNL1,BLM,ACTB,PKMYT1,CCNT2,SFN,CCNB1,CDC25A,GTF2H1,CCNH,CCNG2,CCNO,CCNP,CDK5R1,BCCIP,CDK5RAP3,HERC5,CDKN1A,CCNI2,CDKN2A,DIRAS3,CDKN1B,MNAT1,CDK5R2,CDKN2B,SERTAD1,CDC25C,CNPPD1,CDC37,CDK7,CCNA2,CCNG1,CCNI,CCNB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
