2-LTR circle formation,R-HSA-164843,BANF1,HMGA1,LIG4,PSIP1,XRCC4,XRCC5,XRCC6,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A tetrasaccharide linker sequence is required for GAG synthesis,R-HSA-1971475,AGRN,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,BCAN,BGN,CSPG4,CSPG5,DCN,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,HSPG2,NCAN,SDC1,SDC2,SDC3,SDC4,VCAN,XYLT1,XYLT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC transporter disorders,R-HSA-5619084,ABCA1,ABCA12,ABCA3,ABCB11,ABCB4,ABCB6,ABCC2,ABCC6,ABCC8,ABCC9,ABCD1,ABCD4,ABCG5,ABCG8,APOA1,CFTR,DERL1,DERL2,DERL3,ERLEC1,ERLIN1,ERLIN2,KCNJ11,OS9,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RNF185,RNF5,RPS27A,SEL1L,SEM1,UBA52,UBB,UBC,VCP,,,,,,,,,,,,,,,,,,,,,,,
ABC transporters in lipid homeostasis,R-HSA-1369062,ABCA10,ABCA12,ABCA2,ABCA3,ABCA5,ABCA6,ABCA7,ABCA9,ABCD1,ABCD2,ABCD3,ABCG1,ABCG4,ABCG5,ABCG8,APOA1,PEX19,PEX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP signalling through P2Y purinoceptor 1,R-HSA-418592,GNA11,GNA14,GNA15,GNAQ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,MAPK14,P2RY1,PLA2G4A,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP signalling through P2Y purinoceptor 12,R-HSA-392170,GNAI1,GNAI2,GNAI3,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,P2RY12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT phosphorylates targets in the cytosol,R-HSA-198323,AKT1,AKT1S1,AKT2,AKT3,BAD,CASP9,CDKN1A,CDKN1B,CHUK,GSK3A,GSK3B,MDM2,MKRN1,TSC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT phosphorylates targets in the nucleus,R-HSA-198693,AKT1,AKT2,AKT3,CREB1,FOXO1,FOXO3,FOXO4,FOXO6,NR4A1,RPS6KB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK inhibits chREBP transcriptional activation activity,R-HSA-163680,ADIPOQ,ADIPOR1,ADIPOR2,MLXIPL,PRKAA2,PRKAB2,PRKAG2,STK11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC truncation mutants have impaired AXIN binding,R-HSA-5467337,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-Cdc20 mediated degradation of Nek2A,R-HSA-179409,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CDC16,CDC20,CDC23,CDC26,CDC27,MAD2L1,NEK2,RPS27A,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
