2-LTR circle formation,ReactomeDec2019,BANF1,HMGA1,LIG4,PSIP1,XRCC4,XRCC5,XRCC6,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Phosphoribose 1-diphosphate biosynthesis,ReactomeDec2019,PRPS1,PRPS1L1,PRPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A tetrasaccharide linker sequence is required for GAG synthesis,ReactomeDec2019,AGRN,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,BCAN,BGN,CSPG4,CSPG5,DCN,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,HSPG2,NCAN,SDC1,SDC2,SDC3,SDC4,VCAN,XYLT1,XYLT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC transporter disorders,ReactomeDec2019,ABCA1,ABCA12,ABCA3,ABCB11,ABCB4,ABCB6,ABCC2,ABCC6,ABCC8,ABCC9,ABCD1,ABCD4,ABCG5,ABCG8,APOA1,CFTR,DERL1,DERL2,DERL3,ERLEC1,ERLIN1,ERLIN2,KCNJ11,OS9,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RNF185,RNF5,RPS27A,SEL1L,SEM1,UBA52,UBB,UBC,VCP,,,,,,,,,,,,,,,,,,,,,,,
ABC transporters in lipid homeostasis,ReactomeDec2019,ABCA10,ABCA12,ABCA2,ABCA3,ABCA5,ABCA6,ABCA7,ABCA9,ABCD1,ABCD2,ABCD3,ABCG1,ABCG4,ABCG5,ABCG8,APOA1,PEX19,PEX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABO blood group biosynthesis,ReactomeDec2019,ABO,FUT1,FUT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP signalling through P2Y purinoceptor 1,ReactomeDec2019,GNA11,GNA14,GNA15,GNAQ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,MAPK14,P2RY1,PLA2G4A,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP signalling through P2Y purinoceptor 12,ReactomeDec2019,GNAI1,GNAI2,GNAI3,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,P2RY12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT phosphorylates targets in the cytosol,ReactomeDec2019,AKT1,AKT1S1,AKT2,AKT3,BAD,CASP9,CDKN1A,CDKN1B,CHUK,GSK3A,GSK3B,MDM2,MKRN1,TSC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT phosphorylates targets in the nucleus,ReactomeDec2019,AKT1,AKT2,AKT3,CREB1,FOXO1,FOXO3,FOXO4,FOXO6,NR4A1,RPS6KB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT-mediated inactivation of FOXO1A,ReactomeDec2019,AKT1,AKT2,AKT3,FOXO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKBH2 mediated reversal of alkylation damage,ReactomeDec2019,ALKBH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
