RL-4,STRINGv11-Community,AL691442.1,C19orf24,DIP2B,EFNA1,EFNA2,EFNA3,EFNA4,EFNA5,EFNB1,EFNB2,EFNB3,EPHA1,EPHA10,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,ETNK1,ETNK2,FRAT2,INPPL1,MAP7D1,PERP,RELN,RHBDL2,SAMD5,WFDC1,ZFYVE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-5,STRINGv11-Community,AL691442.1,C19orf24,EFNA3,EFNA4,EPHA10,EPHA6,EPHA7,EPHA8,FRAT2,PERP,RELN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-6,STRINGv11-Community,AL691442.1,C19orf24,EFNA3,EPHA10,EPHA7,RELN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-7,STRINGv11-Community,EFNA4,EPHA6,EPHA8,FRAT2,PERP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-8,STRINGv11-Community,DIP2B,EFNA2,EFNA5,EFNB2,EFNB3,EPHA3,EPHA4,EPHA5,EPHB2,EPHB3,RHBDL2,SAMD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-9,STRINGv11-Community,DIP2B,EFNB2,EFNB3,EPHB3,RHBDL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-10,STRINGv11-Community,EFNA2,EFNA5,EPHA3,EPHA4,EPHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-12,STRINGv11-Community,EFNB1,EPHB1,EPHB4,EPHB6,ETNK1,ETNK2,MAP7D1,WFDC1,ZFYVE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-14,STRINGv11-Community,AC006486.1,AMER1,AMER2,AMER3,ANKK1,APC,APC2,APOL6,ASPHD1,AXIN1,AXIN2,BCL9L,CCDC140,DACT2,DIXDC1,DSTYK,DVL1,DVL2,DVL3,FPGT-TNNI3K,FRAT1,GSK3A,GSK3B,MAP3K10,MAP3K20,MAP3K9,MOS,NKD2,PBK,PLA2G5,PRUNE1,RGS1,RGS10,RGS11,RGS12,RGS13,RGS14,RGS16,RGS17,RGS18,RGS19,RGS2,RGS20,RGS21,RGS3,RGS4,RGS5,RGS6,RGS7,RGS7BP,RGS8,RGS9,RGS9BP,TESK1,TESK2,TMEM88,TNNI3K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-15,STRINGv11-Community,BCL9L,DACT2,DVL1,DVL2,DVL3,NKD2,TMEM88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
