chrom	gene	start	end
U00096	b0001	190	255
U00096	b0002	337	2799
U00096	b0003	2801	3733
U00096	b0004	3734	5020
U00096	b0005	5234	5530
U00096	b0006	5683	6459
U00096	b0007	6529	7959
U00096	b0008	8238	9191
U00096	b0009	9306	9893
U00096	b0010	9928	10494
U00096	b0011	10643	11356
U00096	b0012	10830	11315
U00096	b0013	11382	11786
U00096	b0014	12163	14079
U00096	b0015	14168	15298
U00096	b0016	15445	16557
U00096	b0018	16751	16960
U00096	b4412	16751	16903
U00096	b0019	17489	18655
U00096	b0020	18715	19620
U00096	b0021	19811	20314
U00096	b0022	20233	20508
U00096	b0023	20815	21078
U00096	b0024	21181	21399
U00096	b0025	21407	22348
U00096	b0026	22391	25207
U00096	b0027	25207	25701
U00096	b0028	25826	26275
U00096	b0029	26277	27227
U00096	b0030	27293	28207
U00096	b0031	28374	29195
U00096	b0032	29651	30799
U00096	b0033	30817	34038
U00096	b0034	34300	34695
U00096	b0035	34781	35371
U00096	b0036	35377	36162
U00096	b0037	36271	37824
U00096	b0038	37898	39115
U00096	b0039	39244	40386
U00096	b0040	40417	41931
U00096	b0041	42403	43173
U00096	b0042	43188	44129
U00096	b0043	44180	45466
U00096	b0044	45463	45750
U00096	b0045	45807	47138
U00096	b0046	47246	47776
U00096	b0047	47769	49631
U00096	b0048	49823	50302
U00096	b0049	50380	51222
U00096	b0050	51229	51606
U00096	b0051	51609	52430
U00096	b0052	52427	53416
U00096	b0053	53416	54702
U00096	b0054	54755	57109
U00096	b0055	57364	58179
U00096	b0056	58474	59124
U00096	b0057	59121	59279
U00096	b0058	59687	60346
U00096	b0059	60358	63264
U00096	b0060	63429	65780
U00096	b0061	65855	66550
U00096	b0062	66835	68337
U00096	b0063	68348	70048
U00096	b0064	70387	71265
U00096	b0065	71351	72115
U00096	b0066	72229	72927
U00096	b0067	72911	74521
U00096	b0068	74497	75480
U00096	b0069	75644	77299
U00096	b4662	77388	77519
U00096	b0070	77621	78799
U00096	b0071	78848	79453
U00096	b0072	79464	80864
U00096	b0073	80867	81958
U00096	b0074	81958	83529
U00096	b0075	83622	83708
U00096	b0076	84368	85312
U00096	b4726	85467	85511
U00096	b0077	85630	87354
U00096	b0078	87357	87848
U00096	b0080	88028	89032
U00096	b0081	89634	90092
U00096	b0082	90094	91035
U00096	b0083	91032	91397
U00096	b0084	91413	93179
U00096	b0085	93166	94653
U00096	b0086	94650	96008
U00096	b0087	96002	97084
U00096	b0088	97087	98403
U00096	b0089	98403	99647
U00096	b0090	99644	100711
U00096	b0091	100765	102240
U00096	b0092	102233	103153
U00096	b0093	103155	103985
U00096	b0094	103982	105244
U00096	b0095	105305	106456
U00096	b0096	106557	107474
U00096	b0097	107705	108217
U00096	b0098	108279	110984
U00096	b0099	111044	111433
U00096	b0101	111649	111846
U00096	b0102	111856	112599
U00096	b0103	112599	113219
U00096	b4727	113244	113288
U00096	b0104	113444	114487
U00096	b0106	114522	115724
U00096	b0107	115714	117099
U00096	b0108	117109	117549
U00096	b0109	117752	118645
U00096	b0110	118733	119284
U00096	b0111	119281	120135
U00096	b0112	120178	121551
U00096	b0113	122092	122856
U00096	b0114	123017	125680
U00096	b0115	125695	127587
U00096	b0116	127912	129336
U00096	b0117	129407	131260
U00096	b0118	131615	134212
U00096	b0119	134388	134750
U00096	b0120	134788	135582
U00096	b0121	135598	136464
U00096	b0122	136570	136917
U00096	b0123	137083	138633
U00096	b0124	138835	141225
U00096	b0125	141431	141967
U00096	b0126	142008	142670
U00096	b0127	142779	143705
U00096	b0128	143702	144472
U00096	b0129	144577	145017
U00096	b0130	145081	146310
U00096	b0131	146314	146694
U00096	b0132	146968	147870
U00096	b0133	147944	148795
U00096	b0134	148807	149601
U00096	b0135	149715	150953
U00096	b0136	151003	151599
U00096	b0137	151626	152231
U00096	b0138	152243	152812
U00096	b0139	152829	155426
U00096	b0140	155461	156201
U00096	b0141	156299	156883
U00096	b0142	157253	157732
U00096	b0143	157729	159126
U00096	b0144	159186	160112
U00096	b0145	160149	160604
U00096	b0146	160782	161486
U00096	b0147	161501	162031
U00096	b0148	162105	164534
U00096	b0149	164730	167264
U00096	b0150	167484	169727
U00096	b0151	169778	170575
U00096	b0152	170575	171465
U00096	b0153	171462	173444
U00096	b0154	173602	174882
U00096	b0155	175107	176528
U00096	b4728	176552	176617
U00096	b0156	176610	176954
U00096	b0157	177001	177624
U00096	b0158	177662	178462
U00096	b0159	178455	179153
U00096	b0160	179237	180754
U00096	b0161	180884	182308
U00096	b0162	182463	183620
U00096	b0163	183709	184095
U00096	b0164	184257	185069
U00096	b0166	185123	185947
U00096	b0167	185978	188650
U00096	b0168	188712	189506
U00096	b0169	189874	190599
U00096	b0170	190857	191708
U00096	b0171	191855	192580
U00096	b0172	192872	193429
U00096	b0173	193521	194717
U00096	b0174	194903	195664
U00096	b0175	195677	196534
U00096	b0176	196546	197898
U00096	b0177	197928	200360
U00096	b0178	200482	200967
U00096	b0179	200971	201996
U00096	b0180	202101	202556
U00096	b0181	202560	203348
U00096	b0182	203348	204496
U00096	b0183	204493	205089
U00096	b0184	205126	208608
U00096	b0185	208621	209580
U00096	b0186	209679	211820
U00096	b0187	211877	212266
U00096	b0188	212331	213629
